timestamp,group,tar,scientific,birdnet,tar_sex,alarm,flock,flock_sex,flock_proximity,aux_response,auxID,tar_add_to_flock
230730-065941,msf,myca,Myiozetetes cayanensis,Myiozetetes cayanensis,,1,mysi,u,,,,0
230730-065941,msf,myca,Myiozetetes cayanensis,Myiozetetes cayanensis,,1,raca,u,,,,0
230730-065941,msf,myca,Myiozetetes cayanensis,Myiozetetes cayanensis,,1,raca,u,,,,0
230730-065941,msf,myca,Myiozetetes cayanensis,Myiozetetes cayanensis,,1,raca,u,,,,0
230730-065941,msf,myca,Myiozetetes cayanensis,Myiozetetes cayanensis,,1,raca,u,,,,0
230730-065941,msf,myca,Myiozetetes cayanensis,Myiozetetes cayanensis,,1,raca,u,,,,0
230730-065941,msf,myca,Myiozetetes cayanensis,Myiozetetes cayanensis,,1,mygr,u,,,,0
230730-065941,msf,myca,Myiozetetes cayanensis,Myiozetetes cayanensis,,1,myca,,,,,1
230730-073916,ssf,thep,Thraupis episcopus,Thraupis episcopus,,0,thep,u,3,,,0
230730-073916,ssf,thep,Thraupis episcopus,Thraupis episcopus,,0,thep,,,,,0
230730-073916,ssf,thep,Thraupis episcopus,Thraupis episcopus,,0,thep,,,,,0
230730-073916,ssf,thep,Thraupis episcopus,Thraupis episcopus,,0,thep,,,,,0
230731-090508,msf,myax,Myrmotherula axillaris,Myrmotherula axillaris,,0,myax,m,,a,,0
230731-090508,msf,myax,Myrmotherula axillaris,Myrmotherula axillaris,,0,myhy,m,,,,0
230731-090508,msf,myax,Myrmotherula axillaris,Myrmotherula axillaris,,0,tasc,m,,,,0
230731-090508,msf,myax,Myrmotherula axillaris,Myrmotherula axillaris,,0,tasc,f,,,,0
230731-090508,msf,myax,Myrmotherula axillaris,Myrmotherula axillaris,,0,myax,,,,,1
230731-114522,msf,haru,Habia rubica,Habia rubica,,0,myax,m,,,,0
230731-114522,msf,haru,Habia rubica,Habia rubica,,0,haru,f,,,,0
230731-114522,msf,haru,Habia rubica,Habia rubica,,0,haru,j,,,,0
230731-114522,msf,haru,Habia rubica,Habia rubica,,0,hegr,u,,,,0
230731-114522,msf,haru,Habia rubica,Habia rubica,,0,xigu,u,,,,0
230731-114522,msf,haru,Habia rubica,Habia rubica,,0,haru,,,,,1
230801-074612,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,1,myhy,m,7,,,0
230801-074612,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,1,myhy,f,18,,,0
230801-074612,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,1,cyar,u,11,,,0
230801-074612,msf,myle,Myrmoborus leucophrys,Myrmoborus leucophrys,,1,myle,,,,,1
230801-083023,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,haru,m,,,,0
230801-083023,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,myax,f,,,,0
230801-083023,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,cyar,u,,,,0
230801-083023,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,cyar,u,,,,0
230801-083023,msf,thar,Thamnomanes ardesiacus,Thamnomanes ardesiacus,,0,thar,,,,,1
230801-091257,msf,xigu,Xiphorhynchus guttatus,Xiphorhynchus guttatus,,0,mylo,f,,,,0
230801-091257,msf,xigu,Xiphorhynchus guttatus,Xiphorhynchus guttatus,,0,mylo,m,,,,0
230801-091257,msf,xigu,Xiphorhynchus guttatus,Xiphorhynchus guttatus,,0,myhy,m,,,,0
230801-091257,msf,xigu,Xiphorhynchus guttatus,Xiphorhynchus guttatus,,0,myax,f,,,,0
230801-091257,msf,xigu,Xiphorhynchus guttatus,Xiphorhynchus guttatus,,0,cese,m,,,,0
230801-091257,msf,xigu,Xiphorhynchus guttatus,Xiphorhynchus guttatus,,0,xigu,,,,,1
230801-105233,lek,pifa,Pipra fasciicauda,Pipra fasciicauda,,0,na,na,,,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,u,0,c,,0
230802-124836,ssf,brcy,Brotogeris cyanoptera,Brotogeris cyanoptera,,0,brcy,,,,,1
230803-065040,solo,foan,Formicarius analis,Formicarius analis,,0,na,,,,,0
230803-082550,lek,pifa,Pipra fasciicauda,Pipra fasciicauda,,0,pifa,m,3,s,,0
230803-082550,lek,pifa,Pipra fasciicauda,Pipra fasciicauda,,0,pifa,,,,,0
230803-082550,lek,pifa,Pipra fasciicauda,Pipra fasciicauda,,0,pifa,,,,,0
230803-082550,lek,pifa,Pipra fasciicauda,Pipra fasciicauda,,0,pifa,,,,,1
230803-085033,pair,myax,Myrmotherula axillaris,Myrmotherula axillaris,,0,myax,f,6,,,0
230803-085033,pair,myax,Myrmotherula axillaris,Myrmotherula axillaris,,0,myax,,,,,1
230803-092549,msf,myax,Myrmotherula axillaris,Myrmotherula axillaris,,1,myax,f,2,,,0
230803-092549,msf,myax,Myrmotherula axillaris,Myrmotherula axillaris,,1,myhy,m,9,,,0
230803-092549,msf,myax,Myrmotherula axillaris,Myrmotherula axillaris,,1,myhy,f,11,,,0
230803-092549,msf,myax,Myrmotherula axillaris,Myrmotherula axillaris,,1,thsy,f,14,,,0
230803-092549,msf,myax,Myrmotherula axillaris,Myrmotherula axillaris,,1,myax,,,,,1
230803-101025,solo,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,na,,,,,0
230803-112657,msf,haru,Habia rubica,Habia rubica,,1,haru,f,8,,,0
230803-112657,msf,haru,Habia rubica,Habia rubica,,1,mylo,m,10,,,0
230803-112657,msf,haru,Habia rubica,Habia rubica,,1,mylo,f,10,,,0
230803-112657,msf,haru,Habia rubica,Habia rubica,,1,xigu,u,na,,,0
230803-112657,msf,haru,Habia rubica,Habia rubica,,1,haru,,,,,1
230804-064210,solo,haru,Habia rubica,Habia rubica,,1,na,,,,,0
230804-073331,solo,pifa,Pipra fasciicauda,Pipra fasciicauda,,0,na,,,,,0
230804-083630,pair,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,myhy,f,8,,,0
230804-083630,pair,myhy,Myrmelastes hyperythrus,Myrmeciza hyperythra,,0,myhy,,,,,1
230804-101041,msf,tach,Tangara chilensis,Tangara chilensis,,0,tasc,m,4,,,0
230804-101041,msf,tach,Tangara chilensis,Tangara chilensis,,0,daca,u,6,,,0
230804-101041,msf,tach,Tangara chilensis,Tangara chilensis,,0,tach,u,5,,,0
230804-101041,msf,tach,Tangara chilensis,Tangara chilensis,,0,tach,u,8,,,0
230804-101041,msf,tach,Tangara chilensis,Tangara chilensis,,0,tach,,,,,1
